Unnamed: 0,SupportTicketID,CustomerID,DateCreated,DateCompleted,Escalated,CustomerID2,CompletedTutorial,GeographyID,OriginalScore,Rating,Tenure,RoleID,GeographyID2,Continent,CountryRegion,RoleID2,RoleInOrg,Duration,Theme,Theme_Desc,Assigned_Resource,Text,Key Phrases,Sentiment
3,5466,10002364,20/08/2018,21/08/2018,0,10002364,yes,4,6,High,0,1,4,Europe,Spain,1,publisher,1,features,"product features, website features, checkout features",Amanda,The drawer of my wardrobe keeps falling out. It needs something to keep it staying in place.,"['drawer', 'wardrobe', 'place']",negative
10,16474,10007164,17/07/2018,23/07/2018,0,10007164,yes,2,8,High,22,1,2,Europe,France,1,publisher,6,speed,consider the delivery speed.,Amanda,I never got the package. Can I get a refund?,"['package', 'refund']",negative
17,62379,10026353,12/7/2018,19/07/2018,0,10026353,yes,2,8,High,7,2,2,Europe,France,2,consumer,7,speed,consider the delivery speed.,Amanda,I'm worried that my shelves aren't going to get here in time. Can you give an estimate of when they'll arrive?,"['shelves', 'time', 'estimate']",negative
24,54668,10023112,19/08/2018,23/08/2018,0,10023112,no,2,6,High,15,2,2,Europe,France,2,consumer,4,features,"product features, website features, checkout features",Amanda,The wooden saw I bought is so dull it can't even do anything. Really disappointed,['wooden saw'],negative
31,31471,10013412,8/6/2018,8/6/2018,0,10013412,no,2,10,High,19,2,2,Europe,France,2,consumer,0,features,"product features, website features, checkout features",Amanda,"I really like this drill, but it didn't come with all of the bits I expected it to.","['drill', 'bits']",negative
38,53990,10022819,12/6/2018,20/06/2018,0,10022819,no,2,7,High,14,2,2,Europe,France,2,consumer,8,other,Just make up something!,Amanda,"Instead of the pliers I ordered, I got a hard hat. How do I swap them out?","['hard hat', 'pliers']",negative
45,48769,10020623,4/7/2018,7/7/2018,1,10020623,no,1,7,High,5,2,1,Europe,UK,2,consumer,3,features,"product features, website features, checkout features",Amanda,"The online listing said that this multi-tool plier comes with 10 different features, but mine only has 8.","['multi-tool plier', 'online listing', 'different features']",neutral
52,68049,10028765,10/9/2018,11/9/2018,0,10028765,no,1,9,High,6,2,1,Europe,UK,2,consumer,1,support,"tech support, customer support, product support",Amanda,"I thought I canceled my order, but online it still shows as a purchase. Can you confirm whether it's canceled?","['order', 'purchase']",negative
59,46865,10019770,21/07/2018,24/07/2018,1,10019770,no,1,6,High,0,2,1,Europe,UK,2,consumer,3,services,"delivery services, installation services, account services, payment services, or lack there of",Amanda,"The shipping estimate said the hammer would get here in 2 days, but it's been much longer than that.","['hammer', 'shipping estimate', 'days']",neutral
66,17172,10007480,8/8/2018,8/8/2018,0,10007480,yes,3,6,High,12,1,3,Europe,Germany,1,publisher,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,I missed the sale on the dressers. Could you still honor the discount?,"['sale', 'dressers', 'discount']",mixed
73,1608,10000707,12/6/2018,12/6/2018,0,10000707,yes,3,7,High,13,1,3,Europe,Germany,1,publisher,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,Your homepage says that all garden supplies are 25% off but I don't see the discount. Is it still applicable?,"['homepage', 'garden supplies', 'discount']",negative
80,66653,10028154,3/10/2018,3/10/2018,0,10028154,yes,1,9,High,29,2,1,Europe,UK,2,consumer,0,services,"delivery services, installation services, account services, payment services, or lack there of",Amanda,My order status says it's still sitting in the warehouse and hasn't even been shipped yet. Will it ever get to me at this point?,"['order status', 'warehouse', 'point']",neutral
87,9887,10004279,5/9/2018,8/9/2018,0,10004279,yes,1,6,High,11,1,1,Europe,UK,1,publisher,3,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,Do you take competitors discounts? It's unclear on your website.,"['competitors discounts', 'website']",negative
94,30484,10013028,13/07/2018,13/07/2018,1,10013028,yes,1,6,High,12,2,1,Europe,UK,2,consumer,0,services,"delivery services, installation services, account services, payment services, or lack there of",Amanda,"It says my order was delivered, but I don't see it anywhere. Can I get a refund?","['order', 'refund']",negative
101,9277,10004025,1/9/2018,1/9/2018,0,10004025,no,1,7,High,25,1,1,Europe,UK,1,publisher,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,Home Depot is offering this same garden gnome for $5 less. Can you apply a competitors' discount?,"['Home Depot', 'garden gnome', ""competitors' discount""]",neutral
108,106234,10041924,17/10/2018,24/10/2018,0,10041924,no,1,5,Low,13,2,1,Europe,UK,2,consumer,7,features,"product features, website features, checkout features",Amanda,There are so many steps to complete an order. There's no way for me to know where I am in the process. Can you help?,"['steps', 'order', 'way', 'process']",positive
115,71182,10030147,19/05/2018,23/05/2018,0,10030147,no,2,6,High,43,2,2,Europe,France,2,consumer,4,speed,consider the delivery speed.,Amanda,I haven't received the rest of my order. Is it going to get here soon?,"['rest', 'order']",negative
122,63789,10026941,19/08/2018,19/08/2018,0,10026941,no,1,10,High,2,2,1,Europe,UK,2,consumer,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,Curtains for $105? You're kidding right - I can get these from Bed Bath & Beyond for much cheaper.,"['Bed Bath', 'Curtains']",positive
129,24047,10010312,28/08/2018,29/08/2018,1,10010312,yes,1,6,High,21,1,1,Europe,UK,1,publisher,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,The doorknob I received is much cheaper in person than what I paid for it.,"['doorknob', 'person']",negative
143,32767,10013971,25/10/2018,28/10/2018,0,10013971,yes,1,8,High,4,2,1,Europe,UK,2,consumer,3,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,Very unhappy with how much I paid for this garden gnome based on how it looks upon arrival.,"['garden gnome', 'arrival']",negative
